Station,Date,Discharge,Longitude,Latitude
USGS-02097517,2021-06-25,17.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-26,15.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-27,15.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-28,14.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-29,12.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-06-30,12.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-01,11.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-02,29.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-03,118.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-04,28.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-05,15.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-06,13.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-07,12.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-08,194.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-09,208.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-10,136.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-11,42.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-12,22.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-13,17.3,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-14,15.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-15,16.6,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-16,14.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-17,12.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-18,15.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-19,230.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-20,127.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-21,42.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-22,21.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-23,15.4,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-24,13.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-25,12.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-26,11.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-27,11.9,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-28,12.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-29,12.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-30,12.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-07-31,11.8,-79.0197222222222,35.8933333333333
USGS-02097517,2021-08-01,11.7,-79.0197222222222,35.8933333333333
USGS-02097517,2021-08-02,12.1,-79.0197222222222,35.8933333333333
USGS-02097517,2021-08-03,12.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-08-04,12.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-08-05,12.0,-79.0197222222222,35.8933333333333
USGS-02097517,2021-08-06,12.2,-79.0197222222222,35.8933333333333
USGS-02097517,2021-08-07,44.8,-79.0197222222222,35.8933333333333
